date,max_temp_c,min_temp_c,rainfall_mm
2025-05-15,34.2,24.9,0.1
2025-05-16,30.5,26.4,4.1
2025-05-17,32.9,25.4,0.9
2025-05-18,30.7,24.6,12.0
2025-05-19,31.0,25.2,19.2
2025-05-20,30.9,24.0,29.0
2025-05-21,31.1,23.9,19.1
2025-05-22,30.9,24.2,2.9
2025-05-23,31.9,25.0,0.3
2025-05-24,32.8,25.3,0.6
2025-05-25,32.6,25.6,0.9
2025-05-26,32.3,23.9,0.0
2025-05-27,33.3,25.6,0.0
2025-05-28,34.1,26.0,0.0
2025-05-29,28.0,25.6,4.9
2025-05-30,31.7,25.0,2.2
2025-05-31,31.5,24.3,0.8
2025-06-01,34.5,25.0,0.0
2025-06-02,32.8,23.6,1.6
2025-06-03,32.3,24.1,1.5
2025-06-04,31.3,24.5,13.0
2025-06-05,31.2,25.5,4.6
2025-06-06,29.9,24.7,14.5
2025-06-07,31.0,24.3,17.3
2025-06-08,31.9,23.6,1.3
2025-06-09,33.0,24.1,0.0
2025-06-10,31.0,24.1,17.3
2025-06-11,32.6,24.6,0.0
2025-06-12,33.0,23.7,0.0
2025-06-13,33.1,25.0,0.2
2025-06-14,33.2,25.1,0.4
2025-06-15,33.1,25.7,7.0
2025-06-16,32.7,23.7,18.8
2025-06-17,30.3,23.5,16.7
2025-06-18,31.9,24.0,0.0
2025-06-19,32.6,24.9,0.3
2025-06-20,27.8,25.2,2.7
2025-06-21,31.3,23.7,0.2
2025-06-22,33.2,24.0,0.0
2025-06-23,33.6,24.6,0.0
2025-06-24,32.8,25.5,0.0
2025-06-25,33.3,25.0,0.0
2025-06-26,33.3,26.1,0.1
2025-06-27,33.7,25.8,0.1
2025-06-28,33.0,24.6,1.9
2025-06-29,35.6,24.1,0.0
2025-06-30,33.1,24.9,1.6
2025-07-01,35.4,25.1,0.0
2025-07-02,33.1,25.9,0.5
2025-07-03,32.8,25.4,0.5
2025-07-04,33.6,24.7,1.4
2025-07-05,35.3,25.1,0.7
2025-07-06,33.9,25.2,5.2
2025-07-07,35.2,26.2,0.9
2025-07-08,34.3,24.6,7.3
2025-07-09,34.1,25.0,0.1
2025-07-10,34.4,24.6,0.3
2025-07-11,35.3,25.5,0.1
2025-07-12,31.8,24.1,17.3
2025-07-13,32.0,24.5,1.9
2025-07-14,31.5,25.4,0.3
2025-07-15,32.5,25.1,0.2
2025-07-16,34.0,25.6,0.2
2025-07-17,34.6,26.4,0.0
2025-07-18,35.6,24.9,0.0
2025-07-19,35.8,25.9,0.0
2025-07-20,35.5,26.4,0.0
2025-07-21,35.1,26.7,0.0
2025-07-22,33.0,25.1,4.6
2025-07-23,34.7,25.9,0.7
2025-07-24,33.3,25.5,3.3
2025-07-25,32.4,23.5,3.4
2025-07-26,32.7,24.0,5.0
2025-07-27,33.3,25.1,4.0
2025-07-28,35.2,24.9,0.0
2025-07-29,35.3,25.5,0.9
2025-07-30,33.6,25.1,0.5
2025-07-31,34.7,26.1,0.1
2025-08-01,34.2,25.9,0.8
2025-08-02,35.1,24.8,0.0
2025-08-03,35.5,25.4,0.2
2025-08-04,33.8,24.0,30.7
2025-08-05,33.4,23.7,0.2
2025-08-06,32.1,23.5,1.6
2025-08-07,32.7,24.5,3.8
2025-08-08,33.2,23.8,1.4
2025-08-09,33.0,24.1,1.9
2025-08-10,28.7,23.3,7.6
2025-08-11,30.2,23.7,2.6
2025-08-12,32.3,23.3,0.7
2025-08-13,31.8,25.2,0.0
2025-08-14,32.4,24.6,1.0
2025-08-15,31.4,22.7,5.2
2025-08-16,32.0,23.7,2.7
2025-08-17,32.7,24.9,0.1
2025-08-18,32.3,24.7,4.9
2025-08-19,30.8,23.7,1.6
2025-08-20,30.9,23.6,4.8
2025-08-21,28.8,22.8,8.6
2025-08-22,33.5,24.0,0.0
2025-08-23,34.4,23.2,3.1
2025-08-24,32.1,23.0,2.0
2025-08-25,32.3,24.4,0.0
2025-08-26,33.8,25.2,0.2
2025-08-27,33.0,23.0,9.8
2025-08-28,28.5,23.4,18.6
2025-08-29,29.7,24.3,6.5
2025-08-30,31.9,24.0,0.0
2025-08-31,31.8,24.6,0.6
2025-09-01,31.3,23.7,8.8
2025-09-02,32.0,24.7,0.8
2025-09-03,30.7,23.8,4.5
2025-09-04,29.1,24.3,9.0
2025-09-05,30.8,24.5,1.7
2025-09-06,32.1,24.0,2.5
2025-09-07,31.5,23.3,7.0
2025-09-08,32.4,24.8,0.1
2025-09-09,29.7,24.3,1.1
2025-09-10,32.6,23.8,3.1
