Date,Max Temp (C),Min Temp (C),Mean Temp (C),Rainfall (mm),Mean Humidity (%),Max Humidity (%),Min Humidity (%),Max Wind Speed (km/h),Wind Direction (deg),Pressure (hPa)
2025-11-17,30.5,23.8,26.4,13.3,88,99,72,10.3,183,1007.9
2025-11-18,31.0,23.4,26.2,10.5,87,99,67,13.2,342,1007.3
2025-11-19,30.3,24.0,25.5,18.5,91,99,69,18.1,326,1007.2
2025-11-20,28.5,23.1,25.4,17.7,91,100,77,14.5,316,1007.6
2025-11-21,30.0,23.6,26.0,22.1,90,99,72,9.4,299,1007.7
2025-11-22,31.7,24.0,26.5,14.5,87,99,60,10.9,298,1007.2
2025-11-23,29.0,23.7,25.4,20.7,91,97,73,17.5,278,1006.3
2025-11-24,26.9,23.9,24.7,59.7,95,99,86,21.8,261,1005.6
2025-11-25,29.1,23.3,25.3,19.3,92,100,73,15.6,123,1005.5
2025-11-26,31.3,24.0,26.6,6.4,85,96,64,12.9,115,1005.5
2025-11-27,27.3,23.3,24.9,52.0,92,98,82,14.0,89,1006.2
2025-11-28,24.9,21.8,23.4,36.8,94,99,86,20.0,328,1007.8
2025-11-29,30.6,22.6,26.0,0.2,81,96,59,11.3,313,1007.8
